DATAFLOW,FREQ,CLASSE_ETA,IMPORTO,ITTER107,SESSO,TIPO_DATO,TIPO_PENSIONE,TIME_PERIOD,OBS_VALUE
IT1:46_812(1.2),A,TOTAL,TOTAL,ITE22,9,P_RSNU,ACCALL,01/01/2012,10251
IT1:46_812(1.2),A,TOTAL,TOTAL,ITD43,9,P_RSNU,CIVDIS,01/01/2012,5603
IT1:46_812(1.2),A,TOTAL,TOTAL,ITF51,9,P_RSNU,CIVWAC,01/01/2012,4852
IT1:46_812(1.2),A,TOTAL,TOTAL,ITF4,9,P_RSPER,SURV,01/01/2012,6.41
IT1:46_812(1.2),A,TOTAL,TOTAL,ITE15,9,P_RSNU,DISAB1,01/01/2012,4281
IT1:46_812(1.2),A,TOTAL,TOTAL,ITC12,9,P_RSNU,NOCONT,01/01/2012,1253
IT1:46_812(1.2),A,TOTAL,TOTAL,ITG17,9,P_RSNU,ALL,01/01/2012,238986
IT1:46_812(1.2),A,TOTAL,TOTAL,ITD43,9,P_RSNU,SURV,01/01/2012,12711
IT1:46_812(1.2),A,TOTAL,TOTAL,ITG17,9,P_RSNU,DISAB1,01/01/2012,16962
IT1:46_812(1.2),A,TOTAL,TOTAL,ITE45,9,P_RSNU,TOTDIS,01/01/2012,22459
IT1:46_812(1.2),A,TOTAL,TOTAL,ITE34,9,P_RSNU,OLSEN1,01/01/2012,42653
IT1:46_812(1.2),A,TOTAL,TOTAL,ITF4,9,P_RSNU,WAR,01/01/2012,12999
IT1:46_812(1.2),A,TOTAL,TOTAL,ITC12,9,P_RSNU,CIVDIS,01/01/2012,6545
IT1:46_812(1.2),A,TOTAL,TOTAL,ITD35,9,P_RSNU,SURV,01/01/2012,63955
IT1:46_812(1.2),A,TOTAL,TOTAL,ITE45,9,P_RSNU,WAR,01/01/2012,5048
IT1:46_812(1.2),A,TOTAL,TOTAL,ITE14,9,P_RSNU,DISAB1,01/01/2012,18175
IT1:46_812(1.2),A,TOTAL,TOTAL,ITE22,9,P_RSNU,CIVDIS,01/01/2012,13908
IT1:46_812(1.2),A,TOTAL,TOTAL,ITG17,9,P_RSNU,NOCONT,01/01/2012,28528
IT1:46_812(1.2),A,TOTAL,TOTAL,ITF4,9,P_RSNU,TOTDIS,01/01/2012,222765
IT1:46_812(1.2),A,TOTAL,TOTAL,ITC42,9,P_RSNU,TOTDIS,01/01/2012,20361
IT1:46_812(1.2),A,TOTAL,TOTAL,ITE14,9,P_RSNU,COMP,01/01/2012,12755
IT1:46_812(1.2),A,TOTAL,TOTAL,ITD43,9,P_RSNU,TOTDIS,01/01/2012,5603
IT1:46_812(1.2),A,TOTAL,TOTAL,ITC12,9,P_RSNU,CIVDAC,01/01/2012,869
IT1:46_812(1.2),A,TOTAL,TOTAL,ITF64,9,P_RSNU,WAR,01/01/2012,819
IT1:46_812(1.2),A,TOTAL,TOTAL,ITC32,9,P_RSNU,SURV,01/01/2012,26542
IT1:46_812(1.2),A,TOTAL,TOTAL,ITG17,9,P_RSNU,OLSEN1,01/01/2012,128884
IT1:46_812(1.2),A,TOTAL,TOTAL,ITD10,9,P_RSNU,SURV,01/01/2012,30457
IT1:46_812(1.2),A,TOTAL,TOTAL,ITD31,9,P_RSNU,COMP,01/01/2012,10701
IT1:46_812(1.2),A,TOTAL,TOTAL,ITF4,9,P_RSNU,SURV,01/01/2012,259821
IT1:46_812(1.2),A,TOTAL,TOTAL,ITE14,9,P_RSNU,CIVWAC,01/01/2012,4240
IT1:46_812(1.2),A,TOTAL,TOTAL,ITD43,9,P_RSNU,WAR,01/01/2012,907
IT1:46_812(1.2),A,TOTAL,TOTAL,ITF,9,P_RSNU,ACCALL,01/01/2012,461288
IT1:46_812(1.2),A,TOTAL,TOTAL,ITC2,9,P_RSPER,CIVDIS,01/01/2012,3.29
IT1:46_812(1.2),A,TOTAL,TOTAL,ITC12,9,P_RSNU,ALL,01/01/2012,58746
IT1:46_812(1.2),A,TOTAL,TOTAL,ITD10,9,P_RSNU,TOTDIS,01/01/2012,10516
IT1:46_812(1.2),A,TOTAL,TOTAL,ITD43,9,P_RSNU,DISAB1,01/01/2012,3505
IT1:46_812(1.2),A,TOTAL,TOTAL,ITE14,9,P_RSNU,NOCONT,01/01/2012,8867
IT1:46_812(1.2),A,TOTAL,TOTAL,ITC42,9,P_RSNU,SURV,01/01/2012,41821
IT1:46_812(1.2),A,TOTAL,TOTAL,ITD2,9,P_RSNU,ACCALL,01/01/2012,10373
IT1:46_812(1.2),A,TOTAL,TOTAL,ITC32,9,P_RSNU,TOTDIS,01/01/2012,11030
IT1:46_812(1.2),A,TOTAL,TOTAL,ITC42,9,P_RSNU,NOCONT,01/01/2012,4025
IT1:46_812(1.2),A,TOTAL,TOTAL,ITF65,9,P_RSNU,ALL,01/01/2012,148957
IT1:46_812(1.2),A,TOTAL,TOTAL,ITE14,9,P_RSNU,TOTDIS,01/01/2012,31360
IT1:46_812(1.2),A,TOTAL,TOTAL,ITF4,9,P_RSPER,COMP,01/01/2012,1.34
IT1:46_812(1.2),A,TOTAL,TOTAL,ITC12,9,P_RSNU,DISAB1,01/01/2012,4260
IT1:46_812(1.2),A,TOTAL,TOTAL,ITG17,9,P_RSNU,CIVDAC,01/01/2012,8989
IT1:46_812(1.2),A,TOTAL,TOTAL,ITE45,9,P_RSNU,OLSEN1,01/01/2012,79450
IT1:46_812(1.2),A,TOTAL,TOTAL,ITE22,9,P_RSNU,CIVDAC,01/01/2012,1480
IT1:46_812(1.2),A,TOTAL,TOTAL,ITD43,9,P_RSNU,NOCONT,01/01/2012,1214
IT1:46_812(1.2),A,TOTAL,TOTAL,ITD31,9,P_RSNU,CIVWAC,01/01/2012,4368
IT1:46_812(1.2),A,TOTAL,TOTAL,ITG17,9,P_RSNU,CIVDIS,01/01/2012,49132
IT1:46_812(1.2),A,TOTAL,TOTAL,ITF4,9,P_RSPER,CIVDIS,01/01/2012,5.5
IT1:46_812(1.2),A,TOTAL,TOTAL,ITC42,9,P_RSNU,OLSEN1,01/01/2012,129112
IT1:46_812(1.2),A,TOTAL,TOTAL,ITE14,9,P_RSNU,SURV,01/01/2012,76865
IT1:46_812(1.2),A,TOTAL,TOTAL,ITC12,9,P_RSNU,COMP,01/01/2012,2774
IT1:46_812(1.2),A,TOTAL,TOTAL,ITF65,9,P_RSNU,ACCALL,01/01/2012,23456
IT1:46_812(1.2),A,TOTAL,TOTAL,ITD10,9,P_RSNU,WAR,01/01/2012,1367
IT1:46_812(1.2),A,TOTAL,TOTAL,ITE14,9,P_RSNU,OLSEN1,01/01/2012,227363
IT1:46_812(1.2),A,TOTAL,TOTAL,ITG17,9,P_RSNU,CIVWAC,01/01/2012,13132
IT1:46_812(1.2),A,TOTAL,TOTAL,ITE45,9,P_RSNU,SURV,01/01/2012,36908
IT1:46_812(1.2),A,TOTAL,TOTAL,ITD43,9,P_RSNU,OLSEN1,01/01/2012,33575
IT1:46_812(1.2),A,TOTAL,TOTAL,ITC2,9,P_RSPER,ALL,01/01/2012,28.35
IT1:46_812(1.2),A,TOTAL,TOTAL,ITF51,9,P_RSNU,DISAB1,01/01/2012,25003
IT1:46_812(1.2),A,TOTAL,TOTAL,ITF4,9,P_RSPER,ALL,01/01/2012,25.32
IT1:46_812(1.2),A,TOTAL,TOTAL,ITC12,9,P_RSNU,CIVWAC,01/01/2012,899
IT1:46_812(1.2),A,TOTAL,TOTAL,ITG17,9,P_RSNU,COMP,01/01/2012,7825
IT1:46_812(1.2),A,TOTAL,TOTAL,ITF41,9,P_RSNU,ALL,01/01/2012,152521
IT1:46_812(1.2),A,TOTAL,TOTAL,ITC13,9,P_RSNU,ALL,01/01/2012,62859
IT1:46_812(1.2),A,TOTAL,TOTAL,ITD31,9,P_RSNU,CIVDIS,01/01/2012,27853
IT1:46_812(1.2),A,TOTAL,TOTAL,ITE16,9,P_RSNU,COMP,01/01/2012,8932
IT1:46_812(1.2),A,TOTAL,TOTAL,ITF65,9,P_RSNU,NOCONT,01/01/2012,8755
IT1:46_812(1.2),A,TOTAL,TOTAL,ITC13,9,P_RSNU,TOTDIS,01/01/2012,7078
IT1:46_812(1.2),A,TOTAL,TOTAL,ITD42,9,P_RSNU,COMP,01/01/2012,8780
IT1:46_812(1.2),A,TOTAL,TOTAL,ITF41,9,P_RSNU,TOTDIS,01/01/2012,30888
IT1:46_812(1.2),A,TOTAL,TOTAL,ITG15,9,P_RSNU,CIVWAC,01/01/2012,3866
IT1:46_812(1.2),A,TOTAL,TOTAL,ITE44,9,P_RSNU,DISAB1,01/01/2012,16621
IT1:46_812(1.2),A,TOTAL,TOTAL,ITC2,9,P_RSNU,NOCONT,01/01/2012,894
IT1:46_812(1.2),A,TOTAL,TOTAL,ITC41,9,P_RSNU,OLSEN1,01/01/2012,201275
IT1:46_812(1.2),A,TOTAL,TOTAL,ITE16,9,P_RSNU,CIVWAC,01/01/2012,1947
IT1:46_812(1.2),A,TOTAL,TOTAL,ITD42,9,P_RSNU,DISAB1,01/01/2012,12710
IT1:46_812(1.2),A,TOTAL,TOTAL,ITC13,9,P_RSNU,SURV,01/01/2012,17869
IT1:46_812(1.2),A,TOTAL,TOTAL,ITG15,9,P_RSNU,COMP,01/01/2012,5285
IT1:46_812(1.2),A,TOTAL,TOTAL,ITC33,9,P_RSNU,ALL,01/01/2012,286980
IT1:46_812(1.2),A,TOTAL,TOTAL,ITF41,9,P_RSNU,SURV,01/01/2012,41310
IT1:46_812(1.2),A,TOTAL,TOTAL,ITD2,9,P_RSNU,SURV,01/01/2012,37373
IT1:46_812(1.2),A,TOTAL,TOTAL,ITE44,9,P_RSNU,NOCONT,01/01/2012,9623
IT1:46_812(1.2),A,TOTAL,TOTAL,ITG15,9,P_RSNU,DISAB1,01/01/2012,7546
IT1:46_812(1.2),A,TOTAL,TOTAL,ITF51,9,P_RSNU,ALL,01/01/2012,105448
IT1:46_812(1.2),A,TOTAL,TOTAL,ITE16,9,P_RSNU,CIVDIS,01/01/2012,13117
IT1:46_812(1.2),A,TOTAL,TOTAL,ITC41,9,P_RSNU,SURV,01/01/2012,64673
IT1:46_812(1.2),A,TOTAL,TOTAL,ITC13,9,P_RSNU,OLSEN1,01/01/2012,52112
IT1:46_812(1.2),A,TOTAL,TOTAL,ITD36,9,P_RSNU,ALL,01/01/2012,237317
IT1:46_812(1.2),A,TOTAL,TOTAL,ITF41,9,P_RSNU,OLSEN1,01/01/2012,87604
IT1:46_812(1.2),A,TOTAL,TOTAL,ITD42,9,P_RSNU,NOCONT,01/01/2012,5398
IT1:46_812(1.2),A,TOTAL,TOTAL,ITG15,9,P_RSNU,NOCONT,01/01/2012,7645
IT1:46_812(1.2),A,TOTAL,TOTAL,ITD2,9,P_RSNU,OLSEN1,01/01/2012,109017
IT1:46_812(1.2),A,TOTAL,TOTAL,ITD31,9,P_RSNU,ALL,01/01/2012,238724
IT1:46_812(1.2),A,TOTAL,TOTAL,ITE44,9,P_RSNU,OLSEN1,01/01/2012,82197
IT1:46_812(1.2),A,TOTAL,TOTAL,ITD2,9,P_RSNU,TOTDIS,01/01/2012,16350
IT1:46_812(1.2),A,TOTAL,TOTAL,ITG15,9,P_RSNU,CIVDIS,01/01/2012,13291
IT1:46_812(1.2),A,TOTAL,TOTAL,ITE44,9,P_RSNU,CIVDIS,01/01/2012,27533
IT1:46_812(1.2),A,TOTAL,TOTAL,ITC2,9,P_RSNU,DISAB1,01/01/2012,4415
IT1:46_812(1.2),A,TOTAL,TOTAL,ITC14,9,P_RSNU,ALL,01/01/2012,48630
IT1:46_812(1.2),A,TOTAL,TOTAL,ITE16,9,P_RSNU,SURV,01/01/2012,27595
IT1:46_812(1.2),A,TOTAL,TOTAL,ITE4,9,P_RSNU,CIVDAC,01/01/2012,36938
IT1:46_812(1.2),A,TOTAL,TOTAL,ITF42,9,P_RSNU,ALL,01/01/2012,298526
IT1:46_812(1.2),A,TOTAL,TOTAL,ITG15,9,P_RSNU,ACCALL,01/01/2012,6826
IT1:46_812(1.2),A,TOTAL,TOTAL,ITF51,9,P_RSNU,ACCALL,01/01/2012,11387
IT1:46_812(1.2),A,TOTAL,TOTAL,ITE16,9,P_RSNU,OLSEN1,01/01/2012,69278
IT1:46_812(1.2),A,TOTAL,TOTAL,ITD42,9,P_RSNU,CIVDIS,01/01/2012,23273
IT1:46_812(1.2),A,TOTAL,TOTAL,ITC41,9,P_RSNU,DISAB1,01/01/2012,12047
IT1:46_812(1.2),A,TOTAL,TOTAL,ITD2,9,P_RSNU,WAR,01/01/2012,1980
IT1:46_812(1.2),A,TOTAL,TOTAL,ITC14,9,P_RSNU,ACCALL,01/01/2012,3659
IT1:46_812(1.2),A,TOTAL,TOTAL,ITE44,9,P_RSNU,CIVWAC,01/01/2012,6495
IT1:46_812(1.2),A,TOTAL,TOTAL,ITG15,9,P_RSNU,ALL,01/01/2012,64431
IT1:46_812(1.2),A,TOTAL,TOTAL,ITF42,9,P_RSNU,ACCALL,01/01/2012,37892
IT1:46_812(1.2),A,TOTAL,TOTAL,ITE16,9,P_RSNU,NOCONT,01/01/2012,3999
IT1:46_812(1.2),A,TOTAL,TOTAL,ITF65,9,P_RSNU,OLSEN1,01/01/2012,83106
IT1:46_812(1.2),A,TOTAL,TOTAL,ITG15,9,P_RSNU,CIVDAC,01/01/2012,2599
IT1:46_812(1.2),A,TOTAL,TOTAL,ITD42,9,P_RSNU,CIVWAC,01/01/2012,3023
IT1:46_812(1.2),A,TOTAL,TOTAL,ITE44,9,P_RSNU,COMP,01/01/2012,5030
IT1:46_812(1.2),A,TOTAL,TOTAL,ITE4,9,P_RSNU,ALL,01/01/2012,1410393
IT1:46_812(1.2),A,TOTAL,TOTAL,ITC13,9,P_RSNU,WAR,01/01/2012,487
IT1:46_812(1.2),A,TOTAL,TOTAL,ITF41,9,P_RSNU,WAR,01/01/2012,2193
IT1:46_812(1.2),A,TOTAL,TOTAL,ITC41,9,P_RSNU,NOCONT,01/01/2012,5596
IT1:46_812(1.2),A,TOTAL,TOTAL,ITD36,9,P_RSNU,CIVDAC,01/01/2012,4718
IT1:46_812(1.2),A,TOTAL,TOTAL,ITE16,9,P_RSNU,DISAB1,01/01/2012,7602
IT1:46_812(1.2),A,TOTAL,TOTAL,ITE21,9,P_RSNU,OLSEN1,01/01/2012,139493
IT1:46_812(1.2),A,TOTAL,TOTAL,ITE16,9,P_RSNU,CIVDAC,01/01/2012,1898
IT1:46_812(1.2),A,TOTAL,TOTAL,ITF65,9,P_RSNU,DISAB1,01/01/2012,29685
IT1:46_812(1.2),A,TOTAL,TOTAL,ITF41,9,P_RSNU,NOCONT,01/01/2012,11246
IT1:46_812(1.2),A,TOTAL,TOTAL,ITC33,9,P_RSNU,ACCALL,01/01/2012,27772
IT1:46_812(1.2),A,TOTAL,TOTAL,ITD2,9,P_RSNU,DISAB1,01/01/2012,10260
IT1:46_812(1.2),A,TOTAL,TOTAL,ITE44,9,P_RSNU,WAR,01/01/2012,3059
IT1:46_812(1.2),A,TOTAL,TOTAL,ITD36,9,P_RSNU,ACCALL,01/01/2012,23983
IT1:46_812(1.2),A,TOTAL,TOTAL,ITG16,9,P_RSNU,ALL,01/01/2012,43089
IT1:46_812(1.2),A,TOTAL,TOTAL,ITE45,9,P_RSNU,ACCALL,01/01/2012,13743
IT1:46_812(1.2),A,TOTAL,TOTAL,ITE15,9,P_RSNU,SURV,01/01/2012,17054
